ID,Category,Text
1,Positive,"The product quality is excellent and delivery was fast."
2,Negative,"The service was terrible and I will not order again."
3,Neutral,"The item arrived as expected without any issues."
4,Positive,"Great experience overall, very satisfied with the purchase."
5,Negative,"Customer support did not respond to my emails."
6,Positive,"The app is very user friendly and intuitive."
7,Neutral,"The website looks okay but could use some improvements."
8,Negative,"Received the wrong item, not happy with the service."
9,Positive,"Fantastic packaging and quick response from the seller."
10,Neutral,"Product is average, nothing special about it."
11,Positive,"Loved the user interface and smooth navigation."
12,Negative,"Delayed shipping and poor customer communication."
13,Neutral,"The color and size matched perfectly with the description."
14,Positive,"Highly recommend this brand to my friends and family."
15,Negative,"The installation process was confusing and time-consuming."
16,Positive,"Very satisfied with my purchase and will buy again."
17,Neutral,"The store layout is fine but staff could be more helpful."
18,Negative,"Completely disappointed with the product quality."
19,Positive,"Amazing experience, exceeded my expectations!"
20,Neutral,"The app performs decently but has minor bugs."
